# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	FAT SN106 nano-FTIR
# Description:	 	SiO2 Spectrum B with Si reference
# Date:	 	01/18/2018 12:25:01
# Scanner Center Position (X, Y):	[µm]	53.78	46.04	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	2048
# Interferometer Center/Distance:	[µm]	400.000	600.000	 
# Averaging:	 	4	 	 
# Integration time:	[ms]	10	 	 
# Laser Source:	 	
# Target Wavelength:	[µm]	10.000	 	 
# Demodulation Mode:	 	0
# Tip Frequency:	[Hz]	260,752.434	 	 
# Tip Amplitude:	[mV]	74.500	 	 
# Tapping Amplitude:	[nm]	75.627	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	80.15	 	 
# Regulator (P, I, D):	 	5.666896	11.826090	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	44.147	 	 
# Mirror Motor Position (X, Y, Z):	[µm]	-1.15	1.07	-0.08
# Version:	 	1.7.3630.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	0	78.57268	3.141593	2.15401	-3.141592	0.6111308	-3.141592	0.008573525	-2.112518E-05	0.06124132	-3.141592	0	0	
0	0	1	2.09095001458333	77.23015	2.448296	2.548862	2.484752	0.7085032	2.791061	0.1158991	-2.655425	0.1068295	2.844226	0	0	
0	0	2	4.18190002916667	73.12616	1.743518	3.583601	1.724831	0.9149036	2.224038	0.2519509	2.471763	0.2001481	1.955119	0	0	
0	0	3	6.27285004375	66.1867	1.01328	4.940063	0.905991	1.115909	1.509462	0.4199497	1.406568	0.3187452	0.9765508	0	0	
0	0	4	8.36380005833333	56.75001	0.2341747	6.252163	0.06948697	1.250091	0.7236488	0.617496	0.4148017	0.447916	0.02176564	0	0	
0	0	5	10.4547500729167	46.25036	-0.6426136	7.188804	-0.7719271	1.291917	-0.1006189	0.8301383	-0.5146279	0.5661049	-0.8867	0	0	
0	0	6	12.5457000875	38.58773	-1.69885	7.54696	-1.616839	1.243207	-0.954872	1.036323	-1.39193	0.6506842	-1.741425	0	0	
0	0	7	14.6366501020833	40.69506	-2.896358	7.307517	-2.467147	1.130745	-1.845207	1.214229	-2.225981	0.6874829	-2.533975	0	0	
0	0	8	16.7276001166667	55.12735	2.31901	6.629142	2.958428	1.002282	-2.785827	1.347939	-3.025092	0.6798106	3.031215	0	0	
0	0	9	18.81855013125	77.54747	1.435298	5.783616	2.095126	0.9164176	2.502838	1.430306	2.484718	0.6516421	2.395706	0	0	
0	0	10	20.9095001458333	103.7515	0.6468871	5.057079	1.236565	0.9188187	1.493944	1.461474	1.725676	0.635745	1.82067	0	0	
0	0	11	23.0004501604167	130.2261	-0.1031952	4.658503	0.4026294	1.014526	0.5362312	1.444862	0.9670509	0.6443062	1.242572	0	0	
0	0	12	25.091400175	153.2108	-0.8408085	4.675829	-0.39404	1.174373	-0.3469089	1.384615	0.1934146	0.6540687	0.6044381	0	0	
0	0	13	27.1823501895833	168.9099	-1.576888	5.076	-1.166422	1.361704	-1.176226	1.287404	-0.6104148	0.6300254	-0.1085647	0	0	
0	0	14	29.2733002041667	174.3436	-2.315869	5.72088	-1.939709	1.542634	-1.979622	1.167017	-1.457082	0.5532973	-0.8920988	0	0	
0	0	15	31.36425021875	168.2486	-3.059916	6.414553	-2.728983	1.68743	-2.776261	1.046171	-2.351773	0.4299729	-1.75245	0	0	
0	0	16	33.4552002333333	151.5977	2.471657	6.977238	2.745776	1.773788	2.706641	0.9497021	3.000949	0.2881031	-2.736682	0	0	
0	0	17	35.5461502479167	127.5055	1.70694	7.303503	1.920354	1.79076	1.897798	0.8901987	2.071078	0.1741217	2.291904	0	0	
0	0	18	37.6371002625	100.5554	0.9163252	7.380696	1.081962	1.740221	1.078441	0.861279	1.187282	0.1395962	0.7479484	0	0	
0	0	19	39.7280502770833	75.84145	0.07385505	7.269244	0.2360725	1.635152	0.2483055	0.8508652	0.3773275	0.1511636	-0.5104142	0	0	
0	0	20	41.8190002916667	58.09938	-0.8554674	7.061183	-0.6103706	1.495814	-0.5914832	0.858101	-0.3603764	0.1427228	-1.440296	0	0	
0	0	21	43.90995030625	50.52544	-1.860873	6.838882	-1.45015	1.345313	-1.43794	0.891845	-1.055424	0.1065731	-2.116162	0	0	
0	0	22	46.0009003208333	52.40103	-2.840001	6.650996	-2.278354	1.20569	-2.285216	0.9538139	-1.751927	0.07177147	-2.346061	0	0	
0	0	23	48.0918503354167	59.41088	2.547932	6.5088	-3.09448	1.09498	-3.12405	1.028917	-2.483157	0.08225181	-2.341728	0	0	
0	0	24	50.18280035	67.31245	1.698219	6.39622	2.381159	1.02553	2.339324	1.093075	3.023719	0.1129144	-2.778049	0	0	
0	0	25	52.2737503645833	73.40784	0.8415815	6.285713	1.577424	1.003332	1.544297	1.125261	2.207276	0.1311518	2.864655	0	0	
0	0	26	54.3647003791667	76.89343	-0.0590322	6.155133	0.7744129	1.027125	0.7689612	1.113033	1.36064	0.1341632	2.163671	0	0	
0	0	27	56.45565039375	79.26868	-1.022161	5.99973	-0.02790255	1.086558	-0.001052886	1.053017	0.4932257	0.1305353	1.420511	0	0	
0	0	28	58.5466004083333	83.67583	-2.034312	5.834594	-0.8271026	1.16188	-0.7811478	0.9504781	-0.3882957	0.1309119	0.5888523	0	0	
0	0	29	60.6375504229167	92.18153	-3.045623	5.688336	-1.62049	1.228145	-1.582125	0.8193143	-1.280299	0.145486	-0.3739507	0	0	
0	0	30	62.7285004375	103.2983	2.274507	5.591489	-2.407944	1.263276	-2.410578	0.6809902	-2.179691	0.1843997	-1.413939	0	0	
0	0	31	64.8194504520833	112.9692	1.373246	5.56423	3.089435	1.256677	3.012073	0.5602126	-3.075713	0.2499191	-2.433426	0	0	
0	0	32	66.9104004666667	117.2309	0.5272425	5.608135	2.297525	1.214556	2.116949	0.4775343	2.345978	0.3306476	2.882396	0	0	
0	0	33	69.00135048125	113.9477	-0.2695425	5.707043	1.491876	1.158105	1.191449	0.4444174	1.564444	0.4062998	1.954306	0	0	
0	0	34	71.0923004958333	103.4954	-1.013054	5.836864	0.6686886	1.112312	0.2539119	0.4652287	0.8735029	0.4548009	1.04841	0	0	
0	0	35	73.1832505104167	88.88408	-1.685414	5.976108	-0.1702922	1.090747	-0.6631266	0.5353504	0.2251351	0.4590724	0.1515364	0	0	
0	0	36	75.274200525	75.42992	-2.262981	6.108683	-1.018521	1.091177	-1.52855	0.6339563	-0.429373	0.4130716	-0.7485396	0	0	
0	0	37	77.3651505395833	68.90311	-2.765445	6.219957	-1.867102	1.106783	-2.33083	0.728415	-1.103268	0.3254592	-1.668805	0	0	
0	0	38	79.4561005541667	70.74926	2.984384	6.294391	-2.70795	1.135589	-3.083401	0.7863351	-1.791893	0.2192207	-2.641038	0	0	
0	0	39	81.54705056875	76.41672	2.336236	6.319972	2.746743	1.174592	2.46527	0.7847668	-2.489721	0.1259069	2.563958	0	0	
0	0	40	83.6380005833333	80.54013	1.57647	6.295464	1.93053	1.209509	1.713859	0.7148798	3.087384	0.06929057	1.453698	0	0	
0	0	41	85.7289505979167	80.15998	0.7317018	6.232955	1.1221	1.217724	0.9204279	0.5829601	2.36624	0.05290977	1.071517	0	0	
0	0	42	87.8199006125	74.68357	-0.1854509	6.153404	0.3142509	1.183259	0.07198557	0.4090382	1.603696	0.1214561	0.851877	0	0	
0	0	43	89.9108506270833	65.53628	-1.182605	6.079074	-0.5000464	1.108268	-0.8347378	0.2271132	0.6873109	0.2527903	0.1385301	0	0	
0	0	44	92.0018006416667	56.07384	-2.280825	6.026535	-1.324448	1.009755	-1.790493	0.1189058	-0.9233695	0.4010663	-0.6693481	0	0	
0	0	45	94.09275065625	50.6886	2.813273	6.000009	-2.157292	0.9012304	-2.766397	0.1882691	-2.480165	0.5211775	-1.497793	0	0	
0	0	46	96.1837006708333	51.22918	1.635308	5.985441	-2.992325	0.7752811	2.568491	0.2785442	2.990138	0.5721514	-2.33883	0	0	
0	0	47	98.2746506854167	54.52044	0.5705761	5.950227	2.461374	0.6111116	1.711593	0.3406155	2.39863	0.5289547	3.079751	0	0	
0	0	48	100.3656007	56.19941	-0.3720526	5.853818	1.643184	0.4138487	1.083844	0.3927028	1.901616	0.3925106	2.148481	0	0	
0	0	49	102.456550714583	54.18504	-1.217615	5.665442	0.8381525	0.3122649	1.018317	0.4571747	1.40634	0.2046773	0.921493	0	0	
0	0	50	104.547500729167	48.89578	-1.981932	5.378764	0.04398486	0.4849533	0.8762373	0.5313195	0.8343537	0.1760211	-1.33525	0	0	
0	0	51	106.63845074375	42.42408	-2.671869	5.016491	-0.7451105	0.7391155	0.2486723	0.5917223	0.1566503	0.3614227	-2.709405	0	0	
0	0	52	108.729400758333	37.43756	2.975554	4.624998	-1.537235	0.9276397	-0.551394	0.6193426	-0.6296755	0.5122393	2.600864	0	0	
0	0	53	110.820350772917	35.85656	2.331601	4.263837	-2.340383	0.9953406	-1.44122	0.6172206	-1.526246	0.5706452	1.695884	0	0	
0	0	54	112.9113007875	38.24274	1.603471	3.993028	3.124989	0.9431535	-2.429869	0.6121899	-2.522902	0.5275088	0.7904648	0	0	
0	0	55	115.002250802083	44.78238	0.7779821	3.858016	2.297629	0.8419076	2.712385	0.6328062	2.716702	0.4026519	-0.1651783	0	0	
0	0	56	117.093200816667	55.75465	-0.09598595	3.874654	1.47376	0.8351223	1.420959	0.6745614	1.703104	0.2411234	-1.298403	0	0	
0	0	57	119.18415083125	70.52585	-0.9706939	4.024415	0.6658093	1.00578	0.1879812	0.6996282	0.7553408	0.139821	-3.073689	0	0	
0	0	58	121.275100845833	87.02228	-1.830081	4.264595	-0.122914	1.259818	-0.8589242	0.6690862	-0.133403	0.2052347	1.427309	0	0	
0	0	59	123.366050860417	102.2408	-2.6784	4.543059	-0.8988354	1.474397	-1.767189	0.5650178	-0.9803592	0.2924039	0.2488849	0	0	
0	0	60	125.457000875	113.1186	2.757418	4.807898	-1.673319	1.581589	-2.585828	0.3953688	-1.799086	0.3360261	-0.7830895	0	0	
0	0	61	127.547950889583	117.4284	1.900308	5.014552	-2.458016	1.565052	2.948742	0.1896931	-2.598638	0.3341127	-1.782201	0	0	
0	0	62	129.638900904167	114.5296	1.022715	5.135091	3.020877	1.449865	2.268896	0.009951372	-0.1568471	0.2957945	-2.769932	0	0	
0	0	63	131.72985091875	105.7537	0.1139483	5.167798	2.191083	1.291176	1.663718	0.1603239	-0.9893411	0.2288027	2.53809	0	0	
0	0	64	133.820800933333	94.14501	-0.8329408	5.139807	1.334548	1.154426	1.127021	0.2288487	-1.720708	0.1385014	1.565487	0	0	
0	0	65	135.911750947917	83.29711	-1.809493	5.096489	0.4562533	1.080715	0.6151825	0.2034361	-2.37012	0.03530398	0.30107	0	0	
0	0	66	138.0027009625	75.44942	-2.778028	5.079038	-0.4321595	1.058412	0.05983702	0.1105027	-2.611948	0.07958642	-2.944532	0	0	
0	0	67	140.093650977083	70.44564	2.601427	5.103009	-1.31529	1.043662	-0.5829861	0.1464171	-1.854956	0.1710005	2.443384	0	0	
0	0	68	142.184600991667	67.27993	1.803904	5.154135	-2.179601	1.006367	-1.325494	0.3197556	-2.236293	0.2321403	1.701404	0	0	
0	0	69	144.27555100625	66.34644	1.114761	5.202926	-3.017678	0.9517695	-2.16833	0.4705577	-2.905577	0.2587376	1.057796	0	0	
0	0	70	146.366501020833	69.06046	0.4870574	5.223267	2.454395	0.9137934	-3.097219	0.5463408	2.64485	0.2628639	0.5144436	0	0	
0	0	71	148.457451035417	75.20934	-0.151853	5.201259	1.666004	0.9249649	2.222386	0.5236157	1.88889	0.265335	0.03840093	0	0	
0	0	72	150.54840105	82.1403	-0.8470486	5.133276	0.8930849	0.9809963	1.295372	0.4067257	1.124967	0.273193	-0.4621589	0	0	
0	0	73	152.639351064583	86.76908	-1.606536	5.019987	0.1270105	1.04504	0.4437456	0.2271248	0.3771813	0.2687745	-1.063319	0	0	
0	0	74	154.730301079167	87.3814	-2.425537	4.863267	-0.6409039	1.083232	-0.3308274	0.04035789	0.06396225	0.2297036	-1.799861	0	0	
0	0	75	156.82125109375	84.07412	2.982649	4.668478	-1.418396	1.086052	-1.041115	0.1177739	1.571387	0.1535919	-2.782841	0	0	
0	0	76	158.912201108333	78.33321	2.053026	4.449761	-2.211511	1.065947	-1.708401	0.1780496	0.7203637	0.1040312	1.7614	0	0	
0	0	77	161.003151122917	72.18162	1.073309	4.233748	-3.023721	1.039724	-2.368171	0.147382	-0.5098597	0.188769	0.1418124	0	0	
0	0	78	163.0941011375	67.24989	0.05698479	4.057184	2.428734	1.010946	-3.068218	0.173978	-2.508445	0.2972546	-0.8900384	0	0	
0	0	79	165.185051152083	64.22429	-0.9742609	3.957139	1.585649	0.9735954	2.427564	0.3862815	2.413608	0.3607392	-1.805916	0	0	
0	0	80	167.276001166667	63.01791	-1.998273	3.95704	0.741262	0.9385208	1.518885	0.644187	1.435242	0.3552046	-2.727973	0	0	
0	0	81	169.36695118125	63.30343	-2.996233	4.05699	-0.09310224	0.9515756	0.4945345	0.861086	0.544426	0.284018	2.535259	0	0	
0	0	82	171.457901195833	64.73124	2.333838	4.234867	-0.9115844	1.058174	-0.5655022	0.9813405	-0.3236705	0.1931621	1.189553	0	0	
0	0	83	173.548851210417	66.84634	1.445564	4.454994	-1.715905	1.239112	-1.5702	0.9783493	-1.193702	0.2028512	-0.5569971	0	0	
0	0	84	175.639801225	69.28894	0.6392341	4.677123	-2.513183	1.423165	-2.499614	0.8587018	-2.085259	0.3101247	-1.871146	0	0	
0	0	85	177.730751239583	72.46336	-0.077583	4.863881	2.970862	1.54352	2.908891	0.6596521	-3.029469	0.3991115	-2.890896	0	0	
0	0	86	179.821701254167	77.97288	-0.7178993	4.988084	2.162035	1.565489	2.066267	0.442113	2.185208	0.4209974	2.464878	0	0	
0	0	87	181.91265126875	87.66635	-1.323065	5.03961	1.338679	1.490168	1.238112	0.2872371	0.8480228	0.3642741	1.569417	0	0	
0	0	88	184.003601283333	101.5642	-1.942827	5.027781	0.5003793	1.346833	0.4091782	0.2587912	-0.6467119	0.2406368	0.6880722	0	0	
0	0	89	186.094551297917	117.0783	-2.603793	4.975231	-0.3477136	1.179087	-0.4354172	0.2870661	-1.84628	0.0776125	-0.1369087	0	0	
0	0	90	188.1855013125	130.2892	2.975516	4.90497	-1.194965	1.028892	-1.30674	0.2918556	-2.781809	0.09239672	1.886429	0	0	
0	0	91	190.276451327083	137.6401	2.236569	4.830174	-2.027643	0.9214407	-2.201855	0.2686889	2.747513	0.2362078	1.005268	0	0	
0	0	92	192.367401341667	137.0761	1.4704	4.756527	-2.833427	0.8541975	-3.099353	0.2491651	2.159786	0.334765	0.0468587	0	0	
0	0	93	194.45835135625	128.5583	0.6823594	4.694546	2.676886	0.7987862	2.30774	0.2672392	1.637661	0.38138	-0.9605289	0	0	
0	0	94	196.549301370833	114.0048	-0.1243675	4.665338	1.932797	0.7193451	1.461794	0.3227402	1.020815	0.3818732	-2.025565	0	0	
0	0	95	198.640251385417	96.72089	-0.9470528	4.686664	1.202195	0.5947442	0.6420005	0.3892109	0.2887779	0.3503053	3.114517	0	0	
0	0	96	200.7312014	80.47517	-1.77981	4.749254	0.4630752	0.4322181	-0.1590195	0.4418832	-0.5097649	0.3079921	1.854276	0	0	
0	0	97	202.822151414583	68.47449	-2.608417	4.811552	-0.304737	0.2688296	-0.9500148	0.4642456	-1.341774	0.290247	0.4489673	0	0	
0	0	98	204.913101429167	62.60416	2.871363	4.824218	-1.113631	0.1609725	-1.758622	0.4493173	-2.197987	0.3359027	-0.9717888	0	0	
0	0	99	207.00405144375	63.18835	2.102201	4.762978	-1.967348	0.1653796	-2.618413	0.4018054	-3.089486	0.4389648	-2.217623	0	0	
0	0	100	209.095001458333	69.04442	1.351233	4.642259	-2.861373	0.3159594	2.845595	0.3393217	2.235818	0.557216	2.997095	0	0	
0	0	101	211.185951472917	77.64252	0.596069	4.498796	2.50121	0.6055923	2.059432	0.2909235	1.17945	0.6501327	2.048635	0	0	
0	0	102	213.2769014875	85.70849	-0.1744406	4.357403	1.576678	0.9823408	1.27631	0.284081	0.07734643	0.6894823	1.18615	0	0	
0	0	103	215.367851502083	90.16437	-0.9633045	4.210034	0.6744655	1.359014	0.4910255	0.3169576	-0.9286009	0.6634592	0.3985671	0	0	
0	0	104	217.458801516667	88.98929	-1.773476	4.03245	-0.18308	1.636381	-0.2968517	0.3626651	-1.791615	0.5797064	-0.3071633	0	0	
0	0	105	219.54975153125	81.79365	-2.613523	3.824398	-0.9820697	1.732854	-1.087337	0.396964	-2.547875	0.4646663	-0.9060073	0	0	
0	0	106	221.640701545833	70.08926	2.780292	3.633918	-1.721134	1.610971	-1.880563	0.4056476	3.056916	0.3565548	-1.364143	0	0	
0	0	107	223.731651560417	57.32426	1.807842	3.535018	-2.419574	1.291564	-2.676405	0.3856172	2.458023	0.2848642	-1.697034	0	0	
0	0	108	225.822601575	48.40856	0.7297861	3.565339	-3.118495	0.8503358	2.811326	0.350531	1.969049	0.2405108	-2.005129	0	0	
0	0	109	227.913551589583	46.94192	-0.3750379	3.69021	2.423499	0.3973476	2.043929	0.3353909	1.602897	0.19066	-2.300958	0	0	
0	0	110	230.004501604167	51.25411	-1.362217	3.843496	1.62004	0.06479937	2.033421	0.3729132	1.243125	0.1378648	-2.349185	0	0	
0	0	111	232.09545161875	57.22244	-2.19935	3.989182	0.7572256	0.1736763	2.804395	0.4496495	0.7445436	0.157881	-2.10795	0	0	
0	0	112	234.186401633333	62.70325	-2.930561	4.133648	-0.1461715	0.2498586	1.549359	0.5255728	0.1003322	0.2499694	-2.329685	0	0	
0	0	113	236.277351647917	67.3446	2.676512	4.287975	-1.061472	0.4067035	0.07517274	0.571877	-0.6497372	0.3342497	-2.850019	0	0	
0	0	114	238.3683016625	70.98832	2.010808	4.427675	-1.959195	0.7052372	-1.069344	0.5792866	-1.481093	0.3696176	2.807625	0	0	
0	0	115	240.459251677083	72.87064	1.320589	4.495173	-2.818354	1.015759	-2.004768	0.5553499	-2.382345	0.3407096	2.144323	0	0	
0	0	116	242.550201691667	72.02161	0.5815824	4.440498	2.654519	1.216111	-2.855281	0.5170637	2.942663	0.2520704	1.489874	0	0	
0	0	117	244.64115170625	68.24966	-0.2245189	4.259455	1.895223	1.230848	2.615321	0.4786436	1.956536	0.127371	0.9916569	0	0	
0	0	118	246.732101720833	62.89406	-1.112708	3.999728	1.18138	1.04238	1.816492	0.4407347	0.9854879	0.06804141	1.814068	0	0	
0	0	119	248.823051735417	58.66283	-2.081098	3.730659	0.4957623	0.691144	0.9959608	0.3923386	0.06592068	0.1736041	1.733298	0	0	
0	0	120	250.91400175	57.87311	-3.083587	3.496893	-0.1927433	0.2730574	-0.06961294	0.3237185	-0.7809333	0.2623095	1.034484	0	0	
0	0	121	253.004951764583	60.14561	2.23641	3.298995	-0.9217318	0.2490997	-2.74429	0.2365214	-1.531029	0.3060239	0.2210504	0	0	
0	0	122	255.095901779167	62.91418	1.351431	3.12723	-1.722005	0.5733055	2.524426	0.1460537	-2.111111	0.3050886	-0.651544	0	0	
0	0	123	257.18685179375	64.00367	0.5419812	3.011879	-2.606352	0.7932429	1.848894	0.08175031	-2.298394	0.2685565	-1.566406	0	0	
0	0	124	259.277801808333	62.90668	-0.2090648	3.023781	2.726504	0.9016629	1.288818	0.0706811	-2.192169	0.2063405	-2.510574	0	0	
0	0	125	261.368751822917	60.47313	-0.9231656	3.202138	1.76039	0.9506583	0.8133119	0.06908359	-2.431143	0.1251224	2.801569	0	0	
0	0	126	263.4597018375	57.98113	-1.627839	3.491586	0.825937	0.9987553	0.3765302	0.04142253	-2.600833	0.03186209	1.57963	0	0	
0	0	127	265.550651852083	56.34935	-2.35358	3.776427	-0.06171467	1.057467	-0.08682948	0.04683021	-1.505447	0.07123677	-1.863534	0	0	
0	0	128	267.641601866667	55.97976	-3.120503	3.953522	-0.9101115	1.086411	-0.615448	0.1288297	-1.697349	0.157737	-2.820213	0	0	
0	0	129	269.73255188125	56.96836	2.357313	3.970445	-1.732118	1.037653	-1.216352	0.2253218	-2.23926	0.2129576	2.615827	0	0	
0	0	130	271.823501895833	59.04794	1.536998	3.829656	-2.538647	0.8908556	-1.897627	0.321256	-2.843049	0.22109	1.827511	0	0	
0	0	131	273.914451910417	61.39753	0.730175	3.576146	2.945953	0.667479	-2.711207	0.4092855	2.80986	0.1786706	1.130374	0	0	
0	0	132	276.005401925	62.90855	-0.04410184	3.277731	2.151263	0.4596757	2.443763	0.4845584	2.154172	0.1046837	0.7356914	0	0	
0	0	133	278.096351939583	62.80933	-0.7791283	3.00341	1.359877	0.4789412	0.9831323	0.5421917	1.467095	0.09217305	1.19204	0	0	
0	0	134	280.187301954167	61.04687	-1.478265	2.804781	0.573604	0.7244557	-0.1219491	0.5771509	0.7442456	0.1775108	0.9721736	0	0	
0	0	135	282.27825196875	58.1196	-2.154207	2.704869	-0.2064295	1.000442	-0.9455713	0.586104	-0.01351002	0.2538373	0.3291695	0	0	
0	0	136	284.369201983333	54.54714	-2.82854	2.696464	-0.9832866	1.218234	-1.667461	0.5687101	-0.7981334	0.2894063	-0.4133341	0	0	
0	0	137	286.460151997917	50.50064	2.756273	2.748913	-1.764484	1.339658	-2.348304	0.5266449	-1.59255	0.2801442	-1.193845	0	0	
0	0	138	288.5511020125	45.94324	2.012297	2.821231	-2.558909	1.347508	-3.009336	0.4618199	-2.368087	0.2371721	-1.992951	0	0	
0	0	139	290.642052027083	41.02163	1.211898	2.878322	2.90933	1.240774	2.626109	0.3778367	-3.0774	0.1800456	-2.794335	0	0	
0	0	140	292.733002041667	36.12715	0.3594257	2.904475	2.069718	1.034661	1.994737	0.2888416	2.650173	0.1289404	2.717732	0	0	
0	0	141	294.82395205625	31.48476	-0.5242278	2.907926	1.205967	0.7604572	1.397087	0.236552	2.358094	0.09830682	2.020722	0	0	
0	0	142	296.914902070833	26.77912	-1.412114	2.912741	0.3252676	0.4649074	0.8940008	0.266407	2.132044	0.09236315	1.352071	0	0	
0	0	143	299.005852085417	21.40776	-2.295413	2.941321	-0.5582439	0.2226907	0.7614694	0.3391796	1.668115	0.1014237	0.574672	0	0	
0	0	144	301.0968021	15.17981	3.063422	2.999092	-1.42773	0.1964647	1.308605	0.3907709	1.030567	0.1097943	-0.366936	0	0	
0	0	145	303.187752114583	9.339714	1.877595	3.073193	-2.270265	0.2917072	1.19276	0.3873258	0.2997997	0.1118371	-1.522453	0	0	
0	0	146	305.278702129167	9.365509	0.2076532	3.143711	-3.080523	0.3337766	0.8305441	0.3206332	-0.5133677	0.1287818	-2.905512	0	0	
0	0	147	307.36965214375	16.57266	-0.9423433	3.195548	2.423359	0.3345657	0.5465098	0.2077682	-1.501385	0.1897091	2.068307	0	0	
0	0	148	309.460602158333	25.92123	-1.728211	3.22258	1.66963	0.3767225	0.3695473	0.1224325	-3.135068	0.2809537	0.9851131	0	0	
0	0	149	311.551552172917	35.64116	-2.407676	3.224993	0.9341538	0.50765	0.05421059	0.1936076	1.435189	0.3688595	0.03311977	0	0	
0	0	150	313.6425021875	44.64189	-3.053715	3.203816	0.2088845	0.6786879	-0.4744205	0.2977166	0.4033901	0.4230584	-0.8586944	0	0	
0	0	151	315.733452202083	51.78482	2.592666	3.156787	-0.5142675	0.8306316	-1.137683	0.3515686	-0.4568032	0.4228611	-1.725898	0	0	
0	0	152	317.824402216667	56.09987	1.956014	3.077218	-1.243163	0.9307622	-1.880862	0.3350722	-1.277128	0.3618553	-2.593211	0	0	
