# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	FAT SN106 nano-FTIR
# Description:	 	SiO2 Spectrum B with Si reference
# Date:	 	01/18/2018 12:25:01
# Reference:	 	01/18/2018 12:22:16 Si Reference Spectrum B
# Scanner Center Position (X, Y):	[µm]	53.78	46.04	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	2048
# Interferometer Center/Distance:	[µm]	400.000	600.000	 
# Averaging:	 	4	 	 
# Integration time:	[ms]	10	 	 
# Laser Source:	 	
# Target Wavelength:	[µm]	10.000	 	 
# Demodulation Mode:	 	0
# Tip Frequency:	[Hz]	260,752.434	 	 
# Tip Amplitude:	[mV]	74.500	 	 
# Tapping Amplitude:	[nm]	75.627	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	80.15	 	 
# Regulator (P, I, D):	 	5.666896	11.826090	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	44.147	 	 
# Mirror Motor Position (X, Y, Z):	[µm]	-1.15	1.07	-0.08
# Version:	 	1.7.3630.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	1	2.09095001458333	0	0	0	0	0	0	0	0	0.9143196	0.1063334	0	0	
0	0	2	4.18190002916667	0	0	0	0	0	0	0	0	1.018939	-0.03950596	0	0	
0	0	3	6.27285004375	0	0	0	0	1.081185	0.345944	0	0	1.085126	-0.1814809	0	0	
0	0	4	8.36380005833333	0	0	0.9527174	0.1859521	0.8807458	0.5136691	0	0	1.166536	-0.2947136	0	0	
0	0	5	10.4547500729167	0	0	0.9015436	0.1245432	0.7409363	0.6171505	1.900128	0.2244191	1.275478	-0.3713058	0	0	
0	0	6	12.5457000875	0	0	0.8524525	0.06826378	0.6395623	0.6679604	1.957955	0.2286073	1.418329	-0.4023476	0	0	
0	0	7	14.6366501020833	0	0	0.8012798	0.01706968	0.5697761	0.6631014	1.909076	0.2026201	1.606661	-0.373187	0	0	
0	0	8	16.7276001166667	0	0	0.7478641	-0.02873316	0.5370653	0.5895588	1.80688	0.1544346	1.864894	-0.2603155	0	0	
0	0	9	18.81855013125	0	0	0.6968843	-0.06577876	0.56366	0.4425006	1.684517	0.1034415	2.229283	-0.0371702	0	0	
0	0	10	20.9095001458333	0	0	0.6585444	-0.08464944	0.6919388	0.2576176	1.569054	0.06588582	2.667733	0.2910144	0	0	
0	0	11	23.0004501604167	0	0	0.6459661	-0.07187703	0.9679176	0.09605028	1.483226	0.04850953	2.885796	0.6283294	0	0	
0	0	12	25.091400175	0	0	0.6681901	-0.02553114	0	0	1.442225	0.04966793	2.60205	0.8346331	0	0	
0	0	13	27.1823501895833	0	0	0.7230151	0.03321977	0	0	1.455632	0.06543963	2.02035	0.8797142	0	0	
0	0	14	29.2733002041667	0	0	0.7967334	0.07909596	0	0	1.531399	0.09670028	1.432109	0.811403	0	0	
0	0	15	31.36425021875	0	0	0.8730928	0.1031472	0	0	1.670278	0.1532113	0.9506438	0.6532603	0	0	
0	0	16	33.4552002333333	0	0	0.9419797	0.1093034	1.478416	0.08907589	1.837765	0.2427077	0.5901287	0.3673224	0	0	
0	0	17	35.5461502479167	0	0	1.000846	0.1045283	1.281433	0.1313761	1.959981	0.3371615	0.362542	-0.1922704	0	0	
0	0	18	37.6371002625	0	0	1.052055	0.0945297	1.135073	0.1506506	2.011851	0.3815977	0.3274016	-1.044902	0	0	
0	0	19	39.7280502770833	0.4627455	0.4468494	1.099898	0.08342812	1.038838	0.1502498	2.004233	0.3599035	0.4499386	-1.611677	0	0	
0	0	20	41.8190002916667	0	0	1.147965	0.07423151	0.9866076	0.1367316	1.909078	0.3145582	0.6294581	-1.828368	0	0	
0	0	21	43.90995030625	0	0	1.196521	0.06871278	0.9723091	0.1202607	1.747149	0.3148896	0.8809741	-1.663389	0	0	
0	0	22	46.0009003208333	0	0	0	0	0.9872988	0.1155546	1.596461	0.3866952	0	0	0	0	
0	0	23	48.0918503354167	0	0	0	0	1.01237	0.1385668	1.481103	0.5031867	0	0	0	0	
0	0	24	50.18280035	0	0	0	0	1.014481	0.1932502	1.378658	0.6279375	0.732584	1.369839	0	0	
0	0	25	52.2737503645833	0	0	0	0	0.970647	0.2592321	1.272142	0.7329596	0.6403621	1.239986	0	0	
0	0	26	54.3647003791667	0	0	0	0	0.8956937	0.3072847	1.164616	0.8014796	0.5295857	1.002334	0	0	
0	0	27	56.45565039375	0	0	0	0	0.8195906	0.3233413	1.067816	0.8280734	0.4358318	0.7330987	0	0	
0	0	28	58.5466004083333	0	0	0.9891078	0.02936258	0.7571365	0.3074157	0.9912871	0.8145311	0.3900683	0.4146361	0	0	
0	0	29	60.6375504229167	0.5485168	-1.022246	0.9133841	0.02017039	0.7089727	0.2633719	0.9418062	0.7641909	0.4178636	0.01740125	0	0	
0	0	30	62.7285004375	0.6179255	-1.058642	0.8590076	0.01665833	0.6718667	0.1942233	0.9288877	0.6793874	0.5713915	-0.392718	0	0	
0	0	31	64.8194504520833	0	0	0.8292925	0.0188715	0.6445779	0.1017514	0.9707857	0.5648836	0.9965055	-0.6785609	0	0	
0	0	32	66.9104004666667	0	0	0.8229092	0.02416691	0.6302722	-0.0108734	1.089566	0.4362922	2.274481	-0.5889939	0	0	
0	0	33	69.00135048125	0	0	0.8349064	0.02939202	0.6372356	-0.1325889	0	0	2.95967	0.4682605	0	0	
0	0	34	71.0923004958333	0	0	0.8578893	0.03290633	0.676874	-0.2357541	0	0	1.530741	0.7942511	0	0	
0	0	35	73.1832505104167	0	0	0.8834355	0.03463545	0.7564328	-0.2763056	1.315062	0.3318184	0.9651734	0.7228058	0	0	
0	0	36	75.274200525	0	0	0.9038839	0.03484689	0.8669798	-0.2144865	1.195746	0.4368308	0.6645642	0.5593913	0	0	
0	0	37	77.3651505395833	0	0	0.914279	0.03351997	0.9760497	-0.04730263	1.067928	0.5433267	0.4591132	0.3404824	0	0	
0	0	38	79.4561005541667	0	0	0.9133639	0.03081773	1.046595	0.1742795	0.9504643	0.6356046	0.3014301	0.04488881	0	0	
0	0	39	81.54705056875	0	0	0.9029849	0.02748836	1.071677	0.3724827	0.8435965	0.7149612	0.1844102	-0.3822111	0	0	
0	0	40	83.6380005833333	0	0	0.8867185	0.0242253	1.065266	0.4911862	0.7418696	0.784743	0.1164586	-0.8706187	0	0	
